JJ PPM DIFF DIDD
1981.2205 342.49 1.74000000000001 1342.48
1981.2397 342.23 1.48000000000002 1342.22
1981.2589 342.62 1.94 1342.61
1981.2781 342.80 1.75 1342.79
1981.2973 342.54 1.46000000000004 1342.53
1981.3164 342.71 1.41999999999996 1342.7
1981.3356 343.08 1.38999999999999 1343.07
1981.3548 343.04 1.64000000000004 1343.03
1981.3740 342.95 1.20999999999998 1342.94
1981.3932 343.00 1.86000000000001 1342.99
1981.4123 342.87 1.22000000000003 1342.86
1981.4315 342.83 1.16999999999996 1342.82
1981.4507 342.40 0.789999999999964 1342.39
1981.4699 342.19 1.44 1342.18
1981.4890 341.71 1.31 1341.7
1981.5082 341.30 1.88 1341.29
1981.5274 340.54 1.20000000000005 1340.53
1981.5466 340.72 1.81 1340.71
1981.5658 340.05 1.30000000000001 1340.04
1981.5849 339.30 2.04000000000002 1339.29
1981.6041 338.98 0.960000000000036 1338.97
1981.6233 338.18 -0.149999999999977 1338.17
1981.6425 337.25 -0.850000000000023 1337.24
1981.6616 337.60 1.49000000000001 1337.59
1981.6808 337.10 0.810000000000002 1337.09
1981.7000 336.92 0.550000000000011 1336.91
1981.7192 336.84 1.90999999999997 1336.83
1981.7384 336.24 0.0600000000000023 1336.23
1981.7575 336.66 0.920000000000016 1336.65
1981.7767 337.11 1.06 1337.1
1981.7959 337.22 0.82000000000005 1337.21
1981.8151 337.68 1.03000000000003 1337.67
1981.8342 338.13 1.17000000000002 1338.12
1981.8534 338.29 0.970000000000027 1338.28
1981.8726 338.43 1.25 1338.42
1981.8918 339.23 1.63 1339.22
1981.9110 339.72 2.12 1339.71
1981.9301 339.70 1.56999999999999 1339.69
1981.9493 339.64 1.13999999999999 1339.63
1981.9685 340.03 1.55999999999995 1340.02
1981.9877 340.51 1.86000000000001 1340.5
1982.0068 340.59 1.58999999999997 1340.58
1982.0260 340.75 1.51999999999998 1340.74
1982.0452 340.80 1.28000000000003 1340.79
1982.0644 341.64 2 1341.63
1982.0836 341.77 2.04999999999995 1341.76
1982.1027 341.58 0.870000000000005 1341.57
1982.1219 341.34 1.02999999999997 1341.33
1982.1411 341.97 0.930000000000007 1341.96
1982.1603 342.71 1.27999999999997 1342.7
1982.1795 342.47 1.43000000000001 1342.46
1982.1986 342.71 1.34999999999997 1342.7
1982.2178 -999.99 -1342.36 0
1982.2370 342.84 0.629999999999995 1342.83
1982.2562 343.37 0.78000000000003 1343.36
1982.2753 -999.99 -1342.65 0
1982.2945 -999.99 -1342.65 0
1982.3137 344.91 2.35000000000002 1344.9
1982.3329 344.24 1.11000000000001 1344.23
1982.3521 344.81 1.78000000000003 1344.8
1982.3712 344.67 1.69 1344.66
1982.3904 344.81 1.81999999999999 1344.8
1982.4096 343.96 1.13999999999999 1343.95
1982.4288 344.05 1.16000000000003 1344.04
1982.4479 344.07 1.59999999999997 1344.06
1982.4671 343.40 1.07999999999998 1343.39
1982.4863 343.28 1.50999999999999 1343.27
1982.5055 342.91 1.55000000000001 1342.9
1982.5247 342.27 1.41999999999996 1342.26
1982.5438 342.09 1.58999999999997 1342.08
1982.5630 341.76 1.55000000000001 1341.75
1982.5822 341.06 1.73000000000002 1341.05
1982.6014 340.60 1.53000000000003 1340.59
1982.6205 340.43 1.92000000000002 1340.42
1982.6397 339.15 2.10999999999996 1339.14
1982.6589 338.88 1.13 1338.87
1982.6781 338.74 1.63 1338.73
1982.6973 338.96 2.19999999999999 1338.95
1982.7164 337.24 0.180000000000007 1337.23
1982.7356 337.51 1.36000000000001 1337.5
1982.7548 337.81 1.19999999999999 1337.8
1982.7740 337.96 0.889999999999986 1337.95
1982.7932 338.25 0.850000000000023 1338.24
1982.8123 339.22 1.79000000000002 1339.21
1982.8315 339.02 0.889999999999986 1339.01
1982.8507 339.26 1.01999999999998 1339.25
1982.8699 339.56 1.19999999999999 1339.55
1982.8890 340.37 1.26999999999998 1340.36
1982.9082 339.82 0.20999999999998 1339.81
1982.9274 340.57 0.810000000000002 1340.56
1982.9466 340.81 1.24000000000001 1340.8
1982.9658 341.35 1.5 1341.34
1982.9849 341.42 0.930000000000007 1341.41
1983.0041 341.69 1.13 1341.68
1983.0233 342.18 1.45999999999998 1342.17
1983.0425 341.44 0.610000000000014 1341.43
1983.0616 341.72 0.0200000000000387 1341.71
1983.0808 342.08 0.439999999999998 1342.07
1983.1000 342.78 1.05999999999995 1342.77
1983.1192 343.05 1.73000000000002 1343.04
1983.1384 343.03 1.20999999999998 1343.02
1983.1575 342.71 0.120000000000005 1342.7
1983.1767 342.63 0.089999999999975 1342.62
1983.1959 343.74 1.06999999999999 1343.73
1983.2151 344.93 1344.92 1344.92
1983.2342 343.74 0.900000000000034 1343.73
1983.2534 344.74 1.44999999999999 1344.73
1983.2726 345.03 1.31999999999999 1345.02
1983.2918 345.60 1345.59 1345.59
1983.3110 345.82 0.899999999999977 1345.81
1983.3301 345.64 1.26999999999998 1345.63
1983.3493 345.94 1.13 1345.93
1983.3685 346.36 1.79000000000002 1346.35
1983.3877 346.07 1.30000000000001 1346.06
1983.4068 345.95 1.71999999999997 1345.94
1983.4260 346.09 2.08999999999997 1346.08
1983.4452 345.73 1.71000000000004 1345.72
1983.4644 345.39 1.89999999999998 1345.38
1983.4836 344.96 1.62 1344.95
1983.5027 345.02 2.04999999999995 1345.01
1983.5219 344.31 1.88999999999999 1344.3
1983.5411 344.10 2.08000000000004 1344.09
1983.5603 343.39 1.63 1343.38
1983.5795 342.75 1.58999999999997 1342.74
1983.5986 -999.99 -1340.73 0
1983.6178 342.06 1.64999999999998 1342.05
1983.6370 341.89 2.49000000000001 1341.88
1983.6562 340.95 2.19999999999999 1340.94
1983.6753 340.34 1.50999999999999 1340.33
1983.6945 340.23 1.35000000000002 1340.22
1983.7137 340.29 2.67000000000002 1340.28
1983.7329 340.39 2.94999999999999 1340.38
1983.7521 339.98 2.25999999999999 1339.97
1983.7712 340.20 2.07999999999998 1340.19
1983.7904 340.82 2.67000000000002 1340.81
1983.8096 340.67 1.59000000000003 1340.66
1983.8288 341.07 2.13 1341.06
1983.8479 341.37 2.13999999999999 1341.36
1983.8671 341.66 2.08000000000004 1341.65
1983.8863 341.71 1.37 1341.7
1983.9055 342.24 2.44999999999999 1342.23
1983.9247 342.48 2.05000000000001 1342.47
1983.9438 342.74 1.98000000000002 1342.73
1983.9630 343.43 2.19 1343.42
1983.9822 343.63 2.10000000000002 1343.62
1984.0014 344.09 2.47999999999996 1344.08
1984.0205 343.78 1.79999999999995 1343.77
1984.0396 343.98 2.38 1343.97
1984.0587 344.39 2.65999999999997 1344.38
1984.0779 344.59 2.58999999999997 1344.58
1984.0970 344.86 2.19 1344.85
1984.1161 344.67 1.55000000000001 1344.66
1984.1352 344.98 2.08000000000004 1344.97
1984.1544 344.91 1.98000000000002 1344.9
1984.1735 345.23 2.59000000000003 1345.22
1984.1926 345.52 2.02999999999997 1345.51
1984.2117 345.66 0.710000000000036 1345.65
1984.2309 345.76 2.21999999999997 1345.75
1984.2500 -999.99 -1344.64 0
1984.2691 -999.99 -1345.04 0
1984.2883 -999.99 -1345.52 0
1984.3074 -999.99 -1345.73 0
1984.3265 347.60 1.98000000000002 1347.59
1984.3456 347.36 1.41000000000003 1347.35
1984.3648 347.86 1.50999999999999 1347.85
1984.3839 347.53 1.42999999999995 14.21
1984.4030 347.51 1.55000000000001 14.64
1984.4221 347.07 0.96999999999997 14.75
1984.4413 347.36 1.46000000000004 15.22
1984.4604 346.97 1.69000000000005 14.58
1984.4795 346.50 1.39999999999998 14.97
1984.4986 346.21 1.15999999999997 14.56
1984.5178 346.07 1.63999999999999 14.63
1984.5369 345.35 1.25 14.54
1984.5560 344.89 1.34999999999997 14.11
1984.5751 344.74 2.13999999999999 14.85
1984.5943 344.35 0.550000000000011 14.76
1984.6134 344.12 2.06 15
1984.6325 343.05 1.30000000000001 14.1
1984.6516 342.12 0.399999999999977 13.87
1984.6708 340.88 0.550000000000011 12.86
1984.6899 341.10 0.640000000000043 13.63
1984.7090 341.87 1.86000000000001 15.23
1984.7281 341.24 0.439999999999998 14.18
1984.7473 341.90 1.96999999999997 14.64
1984.7664 341.16 1 14.06
1984.7855 341.99 1.17000000000002 14.72
1984.8046 341.91 1.31 14.46
1984.8238 342.06 1.11000000000001 14.38
1984.8429 342.60 1.24000000000001 14.8
1984.8620 343.08 1.51999999999998 14.38
1984.8811 343.53 1.81999999999999 15.07
1984.9003 343.48 1.31 14.99
1984.9194 -999.99 -1342.47 -1328.89
1984.9385 344.64 2.02999999999997 15.22
1984.9577 344.93 1.55000000000001 15.09
1984.9768 344.70 1.08999999999997 14.77
1984.9959 345.24 1.47000000000003 14.72
1985.0151 345.30 1.21000000000004 14.9
1985.0342 345.18 1.30000000000001 14.57
1985.0534 345.18 0.939999999999998 14.22
1985.0726 345.62 1.06 14.49
1985.0918 346.01 1.12 14.37
1985.1110 345.72 0.990000000000009 14.67
1985.1301 346.49 1.56 14.86
1985.1493 346.72 1.94000000000005 14.85
1985.1685 347.21 1.98999999999995 15.52
1985.1877 347.57 2.05000000000001 15.95
1985.2068 347.92 2.39000000000004 15.82
1985.2260 348.34 2.23999999999995 16.55
1985.2452 348.23 1348.22 15.03
1985.2644 348.24 1348.23 15.43
1985.2836 347.94 1347.93 14.68
1985.3027 348.69 1348.68 15.31
1985.3219 348.96 1.35999999999996 15.33
1985.3411 349.24 1.71000000000004 15.3
1985.3603 349.10 1.33000000000004 14.95
1985.3795 349.07 1.56 15.53
1985.3986 348.91 1.40000000000003 14.86
1985.4178 348.86 1.83000000000004 14.95
1985.4370 348.55 1.19999999999999 15.45
1985.4562 348.37 1.39999999999998 15.12
1985.4753 347.79 1.27000000000004 14.37
1985.4945 347.24 1.00999999999999 14.26
1985.5137 347.10 1.01000000000005 14.95
1985.5329 346.89 1.31999999999999 15.03
1985.5521 346.47 1.61000000000001 15.11
